"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"1143","26004","2011","46","1118","4.114490161","46","100"
"1143","26301","1000","92","1118","8.228980322","92","100"
"1143","26301","1001","67","1118","5.992844364","67","100"
"1143","26302","3000","2","1118","0.178890876","2","100"
"1144","26301","2002","46","1118","4.114490161","46","100"
"1144","26301","2006","113","1118","10.107334525","113","100"
"1144","26301","2007","222","1118","19.856887298","222","100"
"1144","26301","2008","90","1118","8.050089445","90","100"
"1144","26301","2009","50","1118","4.472271914","50","100"
"1144","26301","2010","104","1118","9.302325581","104","100"
"1144","26301","2011","117","1118","10.465116279","117","100"
"1144","26301","2014","119","1118","10.644007155","119","100"
"1144","26301","2015","97","1118","8.676207513","97","100"
"1144","26303","2000","160","1118","14.311270125","160","100"
"1145","26303","1012","72","1060","6.79245283","72","100"
"1145","26303","1015","16","1060","1.509433962","16","100"
"1145","26303","2001","12","1060","1.132075471","12","100"
"1145","26303","2002","90","1060","8.490566037","90","100"
"1145","26303","2004","228","1060","21.509433962","228","100"
"1145","26303","3000","219","1060","20.660377358","219","100"
"1145","26303","3001","80","1060","7.547169811","80","100"
"1145","26303","3002","218","1060","20.566037735","218","100"
"1145","26303","3003","102","1060","9.622641509","102","100"
"1145","26303","3004","23","1060","2.16981132","23","100"
"1146","26301","3005","39","1157","3.370786516","39","100"
"1146","26301","3006","43","1157","3.71650821","43","100"
"1146","26301","3007","36","1157","3.111495246","36","100"
"1146","26301","3008","37","1157","3.197925669","37","100"
"1146","26301","3009","50","1157","4.321521175","50","100"
"1146","26301","3010","60","1157","5.18582541","60","100"
"1146","26303","1002","47","1157","4.062229904","47","100"
"1146","26303","1003","43","1157","3.71650821","43","100"
"1146","26303","1004","42","1157","3.630077787","42","100"
"1146","26303","1005","34","1157","2.938634399","34","100"
"1146","26303","1006","54","1157","4.667242869","54","100"
"1146","26303","1007","56","1157","4.840103716","56","100"
"1146","26303","1008","173","1157","14.952463267","173","100"
"1146","26303","1009","158","1157","13.656006914","158","100"
"1146","26303","1013","96","1157","8.297320656","96","100"
"1146","26303","1014","30","1157","2.592912705","30","100"
"1146","26303","2003","159","1157","13.742437337","159","100"
"1147","26301","2003","96","1164","8.24742268","96","100"
"1147","26301","2012","88","1164","7.560137457","88","100"
"1147","26301","2016","82","1164","7.044673539","82","100"
"1147","26301","3000","114","1164","9.793814432","114","100"
"1147","26301","3001","43","1164","3.694158075","43","100"
"1147","26301","3002","28","1164","2.405498281","28","100"
"1147","26301","3003","44","1164","3.780068728","44","100"
"1147","26301","3004","57","1164","4.896907216","57","100"
"1147","26302","1004","67","1164","5.756013745","67","100"
"1147","26302","1005","35","1164","3.006872852","35","100"
"1147","26302","1006","77","1164","6.615120274","77","100"
"1147","26302","1007","88","1164","7.560137457","88","100"
"1147","26302","1008","65","1164","5.584192439","65","100"
"1147","26302","1011","103","1164","8.84879725","103","100"
"1147","26303","1000","47","1164","4.037800687","47","100"
"1147","26303","1001","96","1164","8.24742268","96","100"
"1147","26303","1011","34","1164","2.920962199","34","100"
"1148","26302","1009","81","1113","7.277628032","81","100"
"1148","26302","1010","111","1113","9.973045822","111","100"
"1148","26302","2000","33","1113","2.964959568","33","100"
"1148","26302","2001","68","1113","6.109613656","68","100"
"1148","26302","2002","61","1113","5.480682839","61","100"
"1148","26302","2003","7","1113","0.628930817","7","100"
"1148","26302","2004","52","1113","4.672057502","52","100"
"1148","26302","2005","74","1113","6.648697214","74","100"
"1148","26302","2006","60","1113","5.390835579","60","100"
"1148","26302","2008","71","1113","6.379155435","71","100"
"1148","26302","2009","43","1113","3.863432165","43","100"
"1148","26302","2010","54","1113","4.851752021","54","100"
"1148","26302","2011","74","1113","6.648697214","74","100"
"1148","26302","2012","56","1113","5.03144654","56","100"
"1148","26302","3007","80","1113","7.187780772","80","100"
"1148","26302","3008","6","1113","0.539083557","6","100"
"1148","26302","3011","43","1113","3.863432165","43","100"
"1148","26302","3012","74","1113","6.648697214","74","100"
"1148","26302","3013","10","1113","0.898472596","10","100"
"1148","26303","1010","55","1113","4.941599281","55","100"
"1149","26302","3002","449","1153","38.941890719","449","100"
"1149","26302","3004","72","1153","6.244579358","72","100"
"1149","26302","3005","419","1153","36.339982653","419","100"
"1149","26302","3006","76","1153","6.591500433","76","100"
"1149","26302","3009","45","1153","3.902862098","47","95.744680851"
"1149","26302","3010","18","1153","1.561144839","18","100"
"1149","60502","3006","74","1153","6.418039895","74","100"
"7001","17700","1023","59","875","6.742857142","59","100"
"7001","22704","1001","55","875","6.285714285","55","100"
"7001","22704","1003","166","875","18.971428571","166","100"
"7001","22704","1004","70","875","8","70","100"
"7001","22704","1005","9","875","1.028571428","9","100"
"7001","22704","1006","48","875","5.485714285","48","100"
"7001","22704","1007","69","875","7.885714285","69","100"
"7001","22704","1008","52","875","5.942857142","52","100"
"7001","22704","1009","64","875","7.314285714","64","100"
"7001","22704","1010","7","875","0.8","7","100"
"7001","22802","1001","78","875","8.914285714","78","100"
"7001","22802","1002","63","875","7.2","63","100"
"7001","22802","1005","86","875","9.828571428","86","100"
"7001","22802","1006","11","875","1.257142857","11","100"
"7001","60702","1027","4","875","0.457142857","4","100"
"7001","60702","1028","2","875","0.228571428","2","100"
"7001","60702","1029","31","875","3.542857142","31","100"
"7001","60702","1030","1","875","0.114285714","1","100"
"7002","22702","1001","68","787","8.640406607","68","100"
"7002","22702","1002","35","787","4.447268106","35","100"
"7002","22702","1003","51","787","6.480304955","51","100"
"7002","22702","1004","62","787","7.878017789","62","100"
"7002","22702","1005","87","787","11.054637865","87","100"
"7002","22702","1006","106","787","13.468869123","106","100"
"7002","22704","1000","1","787","0.127064803","1","100"
"7002","22704","1011","199","787","25.285895806","199","100"
"7002","60702","1023","41","787","5.209656925","41","100"
"7002","60702","1024","18","787","2.287166454","18","100"
"7002","60702","1031","102","787","12.960609911","102","100"
"7002","60702","1032","5","787","0.635324015","5","100"
"7002","60702","1033","12","787","1.524777636","12","100"
"7003","22704","1014","80","820","9.75609756","80","100"
"7003","22704","1015","12","820","1.463414634","12","100"
"7003","22704","1016","77","820","9.390243902","77","100"
"7003","22704","1017","51","820","6.219512195","51","100"
"7003","22704","2000","95","820","11.585365853","95","100"
"7003","22704","2001","68","820","8.292682926","68","100"
"7003","22704","2002","72","820","8.780487804","72","100"
"7003","22704","2003","33","820","4.024390243","33","100"
"7003","22704","2004","141","820","17.195121951","141","100"
"7003","22704","2005","174","820","21.219512195","174","100"
