voted,Freq,year,group,source
1,20.7,2010,Adults ages 18-29,CES
1,44.9,2012,Adults ages 18-29,CES
1,23.2,2014,Adults ages 18-29,CES
1,38,2016,Adults ages 18-29,CES
1,30.8,2018,Adults ages 18-29,CES
1,38,2020,Adults ages 18-29,CES
1,20.9,2010,Adults ages 18-30,CIRCLE
1,45,2012,Adults ages 18-31,CIRCLE
1,19.9,2014,Adults ages 18-32,CIRCLE
1,39,2016,Adults ages 18-33,CIRCLE
1,28.2,2018,Adults ages 18-34,CIRCLE
1,50,2020,Adults ages 18-35,CIRCLE
