"","voted","Freq","year","group"
"4","1",57.3,"2010","Adults ages 18-29"
"8","1",42.1,"2012","Adults ages 18-29"
"12","1",16.5,"2014","Adults ages 18-29"
"16","1",71.5,"2016","Adults ages 18-29"
"20","1",25.8,"2018","Adults ages 18-29"
"24","1",60,"2020","Adults ages 18-29"
