"","title","artist","year","lyrics","id"
"11","Velvet Ring","Big Thief",2016,"Shoved in the kitchen of a city tomb
The light would flicker like a violent womb
The night was thicker than a smoky fume
Liza waited in the room

Benny loved her like he loved no one
The way she'd laugh and hold a smoking gun
The way she always said, """"What's done is done.""""
And he was not the only one

Love is a gentle thing
Yours is thicker than a velvet ring
Yours is thicker than a velvet ring

A victim healer with a sharp sharp blade
Benny knew how she was getting paid
Her water broke and they would have to wade

When he knew that she was fooling
He faced the mirror to avoid the thing said
We're outta money and we sold the bling
And I just wanna take you home, I just wanna take you home
Love is a gentle thing
Yours is thicker than a velvet ring
Yours is thicker than a velvet ring

And I am wandering
I am wandering",2486783
"12","Parallels","Big Thief",2016,"[Verse 1]
Don't I make you feel alive?
Don't I give you a good home?
In a way I know you're always by my side
But today I think I've always been a long way

[Chorus]
One hand to keep me warm
One hand to hold my chin
To be inside your arms
It's all I'm asking

[Verse 2]
Caterpillar on the floor
Can you teach me to transform?
I'll step right in and cocoon 'til I'm born
And I can't say that I'll miss my human form much

[Chorus]
One hand to keep me warm
One hand to hold my chin
To be inside your arms
It's all I'm asking
[Refrain]
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels

I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels

I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels

I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all

[Instrumental]",2486787
"13","Mythological Beauty","Big Thief",2017,"[Verse 1]
You have a mythological beauty
You have the eye of someone I have seen
Outside of ordinary situations
Even outside of dreams
You lie in bed at night and watch the lines
Of headlights through your screen
There is a child inside you
Who’s trying to raise a child in me

[Chorus]
If you wanna leave
You just have to say
You’re all caught up inside
But you know the way

[Verse 2]
You cut the flesh of your left thumb
Using your boyfriend’s knife
Seventeen, you took his cum
And you gave birth to your first life
You gave Andrew a family who you thought
Could love and take better care
I have an older brother I don’t know
He could be anywhere
[Chorus]
If you wanna leave
You just have to say
You’re all caught up inside
But you know the way
You’re all caught up inside
But you know the way

[Verse 3]
Rented a house in Nisswa, Minnesota
Shrapnel and oil cans, rhubarb in the yard
I built a ladder out of metal pieces
Father was working hard
Standing beneath the oak tree by the front door
You were inside baking bread
Sister came out and put her arms around me
Blood gushing from my head
You held me in the backseat with a dishrag
Soaking up blood with your eye
I was just five and you were twenty-seven
Praying, “Don’t let my baby die.”

[Chorus]
If you wanna leave
You just have to say
You’re all caught up inside
But you know the way
You’re all caught up inside
But you know the way
[Outro]
So much more to live your life
To walk the floor
To say goodnight
Do you leave your light on?
Do you leave your light on?
You’re all caught up inside
But you know the way
You’re all caught up inside
But you know the way
You’re all caught up inside
But you know the way
You’re all caught up inside
But you know the way",3045828
"14","Shark Smile","Big Thief",2017,"[Verse 1]
She was a shark smile in a yellow van
She came around and I stole her glance
In my youth, a vampire
Evelyn shown quiet as roses sting
It came over me at a bad time
But who wouldn't ride on a moonlit line?
I had her in my eye, 85 down the road of a dead end gleam

[Chorus]
And she said woo
Baby, take me
And I said woo
Baby, take me too

[Verse 2]
It came over her at a bad time
Riding through Winona down the dotted line
Held us gunning out
90 miles down the road of a dead end dream
She looked over with her part smile
Caught up in the twinkle, it could take awhile
And the money pile on the dashboard fluttering
[Chorus]
As she said woo
Baby, take me
And I said woo
Baby, take me too

[Verse 3]
Evelyn's kiss was oxygen
I leaned over to take it in
As we went howling through the edge of south Des Moines
It came over me at a bad time
She burned over the double line
And she impaled as I reached my hand for the guard rail
Ooh the guard rail
Ooh the guard rail

[Chorus]
She said woo
Baby, take me
And I said woo
Baby, take me too
She said woo
Baby, take me
And I said woo
Baby, take me too",3080825
"15","Mary","Big Thief",2017,"[Intro]
Burn up with the water
The floods are on the plains
The planets in rows
Who knows what they contain?
And my brain is like an orchestra
Playing on, insane
Will you love me like you loved me in the January rain?

[Verse 1]
Mom and Dad and violins
Somber country silence
The needle stopped the kicking
The clothes pins on the floor
And my heart is playing hide and seek
Wait and count to four
Will you love me like you loved me and I'll never ask for more

[Bridge]
What did you tell me Mary
When you were there so sweet and very
Full of field and stars
You carried all of time
Oh and, heavens, when you looked at me
Your eyes were like machinery
Your hands were making artifacts in the corner of my mind
[Chorus]
Monastery monochrome
Boom balloon machine and oh
Diamond rings and gutter bones
Marching up the mountain
With our aching planning, high and smiling
Cheap drink, dark and violent
Full of butterflies, the violent tenderness
The sweet asylum
The clay you find is fortified
We felt unfocused fade the line
The sugar rush, the constant hush
The pushing of the water gush
The marching band when April ran
May June bugs fly and
Push your gin Jacob
With the tired wiry brandy look
Here we go round, Mary
In your famous story book

[Verse 2]
We overcome the sirens
We look both left and right
And I can feel the numbness accompany my plight
And I know that someday soon I'll see you
But now you're out of sight
And you'll kiss me like you used to in the January night
[Bridge]
What did you tell me Mary
When you were there so sweet and very
Full of field and stars
You carried all of time
Oh and, heavens, when you looked at me
Your eyes were like machinery
Your hands were making artifacts in the corner of my mind

[Chorus]
Monastery monochrome
Boom balloon machine and oh
Diamond rings and gutter bones
Marching up the mountain
With our aching planning, high and smiling
Cheap drink, dark and violent
Full of butterflies, the violent tenderness
The sweet asylum
The clay you find is fortified
We felt unfocused fade the line
The sugar rush, the constant hush
The pushing of the water gush
The marching band when April ran
May June bugs fly and
Push your gin Jacob
With the tired wiry brandy look
Here we go round, Mary
In your famous story book",3107353
"16","Pretty Things","Big Thief",2017,"[Verse 1]
Matthew, please do not regret
With your silk in my hand
And your heart in my sweat as you're
Lighting the end of my last cigarette
I will warm you, warm you

[Verse 2]
These things that lonely ones do
Baby, that's what I'm here for
I'll take care and make all your wishes come true
If you want to, do you want to?

[Chorus]
Don't take me for a fool
There's a woman inside of me
There's one inside of you, too

[Verse 3]
There is a meeting in my thighs
Where in thunder and lightning
Men are baptized in their anger and fighting
Their deceit and lies
I've got lips like sugar, lips like sugar
[Verse 4]
Holding my wrist to the bed
He was thrusting and moaning
And pressing his head to my temple
His head was a temple
I said you've got lips like sugar, daddy
Lips like sugar

[Chorus]
Don't take me for a fool
There's a woman inside of me
There's one inside of you, too
And she don't always do pretty things",3113242
"17","Watering","Big Thief",2017,"[Verse 1]
He followed me home again
And his eyes were watering
His eyes were watering like a child
I made-believe for him
That my blood was dripping
My blood was dripping into his mouth

[Chorus]
Screaming
Screaming

[Verse 2]
He cut off my oxygen
And my eyes were watering
As he tore into my skin like a lion
I knew it was poison
As he filled me to the brim
And my blood was dripping like a lamb

[Chorus]
Screaming
Screaming
Screaming
[Verse 3]
Leave your bedroom light on
I live to watch you undress
And you know that I'm there
As you soak in my stare with your right arm

[Outro]
Come to me
Come to me
Come, come to me",3113430
"18","Coma","Big Thief",2017,"[Verse]
He brought her in to get out, to get out
He kissed her skin to get off, to get off, off
You can wake up now, momma
From your protective coma
When you wake up, you wake up

[Chorus]
You won't recognize your house
You won't recognize your house
Will you recognize the iris of the body?
Iris of the body?
You won't recognize your house
You won't recognize your house
Will you recognize the iris of the body?
Iris of the body?
You won't recognize your house
You won't recognize your house
Will you recognize the iris of the body?
Iris of the body?
[Outro]
You won't recognize your house
You won't recognize your house
You won't recognize your house
You won't recognize your house
You won't recognize your house",3113440
"19","Great White Shark","Big Thief",2017,"[Verse 1]
Mercury, creeping on the sea
How she wails, flails her arms and weeps
Accumulation of debris
Lips apart, flapping as a lark
For in the dark there is release

[Chorus]
Every familiarity scarce as the great white shark

[Verse 2]
Oh, to build walls with golden gills
Spike in hand, high above the sand
To kill the sanctuary
Every mile that is owned
Only stands still by the grace of the stone

[Chorus]
Every familiarity scares as the great white shark

[Verse 3]
Look, daughter an owl
Listen to her howl
I howled when you were born through me
And you're alive with a breath you can't see
Oh, by the grace of this dream",3113452
"20","Black Diamonds","Big Thief",2017,"So much coming in
I do not know where to begin
I just follow the lead you're pulling
And I get lost in your trail
So much more to tell
You just ask me if I'm doing well
But I do not know what the hell
I just swallow hard

In your eyes
Black diamonds
I could die
Black diamonds
In your eyes
Black diamonds
I could die
Black diamonds
And I wake up in a cold sweat on your ceiling
Terrified of what your love's revealing

So much you can see
Should I let you make a woman of me?
Should I let you take the mystery from me?
See the inside of my room at night?
Sometimes you will find
Things I do not know how to leave behind
I've been grappling with my mind
I've been stuck inside a jail
In your eyes
Black diamonds
I could die
Black diamonds
In your eyes
Black diamonds
I could die
Black diamonds
And I wake up in a cold sweat on your ceiling
Terrified of what your love's revealing

The cold of winter warms my blood and he's hot
Like a bed of steel
He finds his peace of mind
In the rivers and the whip-poor-wills
I could follow close behind
And slowly disappear
But I can never leave him
I can never leave him
I can never leave him
I can never leave him
I can never leave him
I can never leave him

In his eyes
Black diamonds
I could die
And I wake up in a cold sweat on your ceiling
So much more to do
Come on, let me make a man outta you
I could gather you and you tell the truth
You could cry inside my arms
You could cry inside my arms like a child
You could cry
You could cry",3113474
